Time:50.8211591244   TIMDs:1308
Time:32.2451710701   TIMDs:1744
Time:13.4664509296   TIMDs:2182
Time:33.6558120251   TIMDs:2624
Time:39.2663969994   TIMDs:3066
Time:47.9684479237   TIMDs:442
Time:41.2897541523   TIMDs:884
Time:10.6248700619   TIMDs:1326
Time:12.1757719517   TIMDs:1771
Time:14.0201950073   TIMDs:2216
Time:56.2392709255   TIMDs:2664
Time:75.9104349613   TIMDs:3112
Time:27.7711310387   TIMDs:3560
Time:23.1986498833   TIMDs:4008
Time:26.5461909771   TIMDs:4456
Time:26.3898789883   TIMDs:4904
Time:29.872674942   TIMDs:5352
Time:33.2409420013   TIMDs:5800
Time:34.8107261658   TIMDs:6248
Time:38.1085999012   TIMDs:6699
Time:41.6813898087   TIMDs:7153
Time:44.6860558987   TIMDs:7607
Time:47.5774521828   TIMDs:8061
Time:51.5141158104   TIMDs:8515
Time:47.430150032   TIMDs:8969
Time:52.655092001   TIMDs:9423
Time:54.7125511169   TIMDs:9877
Time:59.2868099213   TIMDs:10334
Time:62.9884779453   TIMDs:10791
Time:61.691576004   TIMDs:11251
Time:65.19520998   TIMDs:11711
Time:68.1393339634   TIMDs:12171
Time:73.441824913   TIMDs:12631
Time:6.18650317192   TIMDs:466
Time:8.00276088715   TIMDs:932
Time:9.34370279312   TIMDs:1398
Time:13.2081649303   TIMDs:1864
Time:15.7909591198   TIMDs:2330
Time:16.3074290752   TIMDs:2796
Time:15.7956519127   TIMDs:3262
Time:20.9225440025   TIMDs:3728
Time:43.3311300278   TIMDs:4194
Time:44.7067840099   TIMDs:4660
Time:28.1213710308   TIMDs:5126
Time:27.6983242035   TIMDs:5592
Time:29.9767889977   TIMDs:6058
Time:32.2554671764   TIMDs:6524
Time:37.4764699936   TIMDs:6990
Time:41.1880578995   TIMDs:7459
Time:47.508163929   TIMDs:7928
Time:51.4701361656   TIMDs:8400
Time:51.9536809921   TIMDs:8872
Time:55.3682858944   TIMDs:9344
Time:59.978935957   TIMDs:9816
Time:58.98772192   TIMDs:10288
Time:63.1206710339   TIMDs:10763
Time:66.3226950169   TIMDs:11241
Time:66.3969311714   TIMDs:11719
Time:98.723929882   TIMDs:12197
Time:106.012672186   TIMDs:12675
Time:31.2691290379   TIMDs:484
Time:31.4999790192   TIMDs:968
Time:29.8735978603   TIMDs:1452
Time:46.6133270264   TIMDs:490
Time:34.423197031   TIMDs:980
Time:39.453690052   TIMDs:1470
Time:42.6581041813   TIMDs:1960
Time:33.2698528767   TIMDs:2450
Time:9.1928050518   TIMDs:496
Time:8.83828210831   TIMDs:992
Time:10.3175969124   TIMDs:1488
Time:12.8886339664   TIMDs:1984
Time:13.0916781425   TIMDs:2480
Time:14.7501089573   TIMDs:2976
Time:17.6906569004   TIMDs:3472
Time:22.1942341328   TIMDs:3968
Time:25.630494833   TIMDs:4464
Time:26.2184309959   TIMDs:4960
Time:47.1981990337   TIMDs:5456
Time:34.2297971249   TIMDs:5957
Time:36.6277270317   TIMDs:6459
Time:37.3125960827   TIMDs:6961
Time:8.84052491188   TIMDs:502
Time:10.7242479324   TIMDs:1004
Time:14.4714279175   TIMDs:1506
Time:17.126445055   TIMDs:2008
Time:23.754267931   TIMDs:2510
Time:24.3264839649   TIMDs:3012
Time:21.7424690723   TIMDs:3514
Time:21.2845699787   TIMDs:4017
Time:22.2689452171   TIMDs:4523
Time:23.5807240009   TIMDs:5031
Time:27.1597399712   TIMDs:5539
Time:64.7715079784   TIMDs:6047
Time:32.3935170174   TIMDs:6555
Time:33.851526022   TIMDs:7063
Time:36.2414340973   TIMDs:7571
Time:42.624519825   TIMDs:8079
